year,position,artist,title
1995,4,The Outhere Brothers,Don't Stop (Wiggle Wiggle)
1995,5,Coolio featuring LV,Gangsta's Paradise
1995,6,Rednex,Cotton Eye Joe
1995,7,Michael Jackson,You Are Not Alone
1995,8,Take That,Back For Good
1995,9,Simply Red,Fairground
1995,10,Robson & Jerome,I Believe / Up On The Roof
1995,11,N-Trance,Set You Free
1995,12,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me"
1995,13,Everything But The Girl,Missing
1995,14,Shaggy,Boombastic
1995,15,Smokie featuring Roy 'Chubby' Brown,Living Next Door To Alice (Who The F**k Is Alice)
1995,16,Diana King,Shy Guy
1995,17,Alex Party,Don't Give Me Your Life
1995,18,Ini Kamoze,Here Comes The Hotstepper
1995,19,Perez 'Prez' Prado & His Orchestra,Guaglione
1995,20,Blur,Country House
1995,21,Take That,Never Forget
1995,22,Bobby Brown,Two Can Play That Game
1995,23,MN8,I've Got A Little Something For You
1995,24,Michael Jackson,Earth Song
1995,25,Pulp,Common People
1995,26,TLC,Waterfalls
1995,27,The Rembrandts,I'll Be There For You
1995,28,Seal,Kiss From A Rose / I'm Alive
1995,29,Oasis,Wonderwall
1995,30,Supergrass,Alright / Time
1995,31,Scatman John,Scatman (Ski-Ba-Bop-Ba-Dop-Bop)
1995,32,Edwyn Collins,A Girl Like You
1995,33,Baby D,I Need Your Loving (Everybody's Got To Learn Sometime)
1995,34,Livin' Joy,Dreamer
1995,35,Boyzone,Father And Son
1995,36,Annie Lennox,No More I Love You's
1995,37,"Cher, Chrissie Hynde & Neneh Cherry With Eric Clapton",Love Can Build A Bridge
1995,38,Oasis,Some Might Say
1995,39,The Original,I Luv U Baby
1995,40,Nicki French,Total Eclipse Of The Heart
1995,41,N-Trance featuring Ricardo Da Force,Stayin' Alive
1995,42,The Bucketheads,The Bomb! (These Sounds Fall Into My Mind)
1995,43,Mariah Carey,Fantasy
1995,44,Def Leppard,When Love And Hate Collide
1995,45,Oasis,Roll With It
1995,46,Tina Arena,Chains
1995,47,The Nightcrawlers,Push The Feeling On
1995,48,Berri,The Sunshine After The Rain
1995,49,Boyzone,Love Me For A Reason
1995,50,Corona,Try Me Out
1995,51,East 17,Thunder
1995,52,Madonna,You'll See
